word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,tense,plural,detail,audio,audio_uk,audio_us
a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,4,4,,,,,,
A  level,,,特种学科考试的甲级考试；(英国大学入学考试的)甲级考试,,2,,,,,,,,,,
a back number,,,"过期的刊物, 过时的人",,,,,,,,,,,,
a bad actor,,,"坏蛋, 危险分子",,,,,,,,,,,,
a bad egg,,,坏蛋,,,,,,,,,,,,
a bad hat,,,坏蛋,,,,,,,,,,,,
a bad job,,,白费力的事,,,,,,,,,,,,
a bad life,,,"不道德的生活, 活不到平均寿命的人",,,,,,,,,,,,
a bad lot,,,一个坏蛋,,,,,,,,,,,,
a bad shot,,,"不准的射击, 猜错, 错误, 失策",,,,,,,,,,,,
a bad word,,,猥亵话,,,,,,,,,,,,
a bag of bones,,,骨瘦如柴的人,,,,,,,,,,,,
a bag of wind,,,夸夸其谈的人,,,,,,,,,,,,
a baker's dozen,,,十三,,,,,,,,,,,,
a ball of fortune,,,受命运摆布的人,,,,,,,,,,,,
a barber's cat,,,面露饥色的人,,,,,,,,,,,,
a bare possibility,,,万一的事情,,,,,,,,,,,,
a bas,ɑ:'bɑ:,,打倒,,,,,,,,,,,,
a battalion of,,,一大队,,,,,,,,,,,,
a battery,,,[电] A电池组,,,,,,,,,,,,
a beaten path,,,"踏出的路, 常规, 惯例",,,,,,,,,,,,
a beaten track,,,"踏出的路, 常规, 惯例",,,,,,,,,,,,
a bed of down,,,安乐窝,,,,,,,,,,,,
a bed of flowers,,,安乐窝,,,,,,,,,,,,
a bed of honor,,,阵亡者的墓,,,,,,,,,,,,
a bed of roses,,,称心如意的境遇,,,,,,,,,,,,
a besetting sin,,,易犯的恶习,,,,,,,,,,,,
a best man,,,男傧相,,,,,,,,,,,,
a big deal,,,要人,,,,,,,,,,,,
a big pot,,,大人物,,,,,,,,,,,,
a big shot,,,"大人物, 大亨",,,,,,,,,,,,
a Bill of Oblivion,,,大赦令,,,,,,,,,,,,
a bird of Jove,,,鹰,,,,,,,,,,,,
a bird of Juno,,,孔雀,,,,,,,,,,,,
a bird of paradise,,,"极乐鸟, 风鸟",,,,,,,,,,,,
a bird of passage,,,候鸟,,,,,,,,,,,,
a bird of wonder,,,凤凰,,,,,,,,,,,,
a bit,,,一点儿；有一点儿,,,1,,,,,,,,,
a bit of,,,一点,,,,,,,,,,,,
a bit of a...,,,一点儿...的味道,,,,,,,,,,,,
a bit of...,,,一点...,,,,,,,,,,,,
a bit thick,,,过分,,,,,,,,,,,,
a black sheep,,,"败家子, 败类, 害群之马",,,,,,,,,,,,
a blank cheque,,,空白支票,,,,,,,,,,,,
a blank sheet,,,"一张白纸, 纯洁的心灵",,,,,,,,,,,,
a blind alley,,,死胡同,,,,,,,,,,,,
a blue dahlia,,,不可能有的东西,,,,,,,,,,,,
a blue moon,,,不可能的事,,,,,,,,,,,,
a body of...,,,大量的...,,,,,,,,,,,,
a bone of contention,,,争论的原因,,,,,,,,,,,,
a box and needle,,,罗盘,,,,,,,,,,,,
a boy in buttons,,,侍役,,,,,,,,,,,,
a breath of life,,,必不可少的东西,,,,,,,,,,,,
a bridge of gold,,,退路,,,,,,,,,,,,
a broken reed,,,不可靠的人,,,,,,,,,,,,
a bunch of fives,,,"拳头, 手",,,,,,,,,,,,
a bundle of nerves,,,神经极紧张的人,,,,,,,,,,,,
a bundle of...,,,一捆/包...,,,,,,,,,,,,
a business zone,,,商业区,,,,,,,,,,,,
a calendar year,,,"年, 历年",,,,,,,,,,,,
a call of nature,,,要大小便的感觉,,,,,,,,,,,,
a call to arms,,,战斗的号令,,,,,,,,,,,,
a case in point,,,恰当的例子,,,,,,,,,,,,
a case of crabs,,,失败,,,,,,,,,,,,
a cattle yard,,,"放置牲畜的仓前空场, 车站旁的牲畜栏",,,,,,,,,,,,
a change of heart,,,"改变主意, 变心, 弃邪归正",,,,,,,,,,,,
a change of scene,,,改换环境,,,,,,,,,,,,
a chapter of accidents,,,接踵而来的灾祸,,,,,,,,,,,,
a child of fortune,,,幸运儿,,,,,,,,,,,,
a child of nature,,,天真的人,,,,,,,,,,,,
a chip in porridge,,,无关紧要之物,,,,,,,,,,,,
a chose in possession,,,占有物,,,,,,,,,,,,
a civil year,,,民用年,,,,,,,,,,,,
a clean sheet,,,清白的历史,,,,,,,,,,,,
a clergyman's sore throat,,,慢性喉炎,,,,,,,,,,,,
a clinging vine,,,惯于依赖男人的女人,,,,,,,,,,,,
a close call,,,侥幸的脱险,,,,,,,,,,,,
a close shave,,,"剃光头发, 侥幸的脱险",,,,,,,,,,,,
a close thing,,,侥幸的脱险,,,,,,,,,,,,
a coat of arms,,,盾形纹章,,,,,,,,,,,,
a cold cook,,,做殡仪馆生意的人,,,,,,,,,,,,
a common soldier,,,"列兵, 二等兵",,,,,,,,,,,,
a common year,,,平年,,,,,,,,,,,,
a conceited pup,,,傲慢的小青年,,,,,,,,,,,,
a conspiracy of silence,,,保持缄默的密约,,,,,,,,,,,,
a convenient memory,,,只记住对自己有利的事,,,,,,,,,,,,
a coon's age,,,极长的一段时间,,,,,,,,,,,,
a copper captain,,,冒充有地位的人,,,,,,,,,,,,
a cotton zone,,,产棉区,,,,,,,,,,,,
a counsel of perfection,,,"要别人十全十美的要求, 达不到的理想",,,,,,,,,,,,
a couple,,,一对夫妇；夫妻俩,,,1,,,,,,,,,
a couple of,,,"一对..., 三两个...",,,,,,,,,,,,
a course of exchange,,,兑换率,,,,,,,,,,,,
a covenant of salt,,,不可背弃的盟约,,,,,,,,,,,,
a cow in calf,,,怀孕的母牛,,,,,,,,,,,,
a cubic yard,,,一立方码,,,,,,,,,,,,
a cut above,,,"高于...一等, 胜于",,,,,,,,,,,,
a cut below,,,"低于...一等, 次于",,,,,,,,,,,,
a danger zone,,,危险地带,,,,,,,,,,,,
a dark horse,,,"黑马, 实力难测的竞争者",,,,,,,,,,,,
a daughter of Momus,,,滑稽的人,,,,,,,,,,,,
a day off,,,休息日,,,,,,,,,,,,
a dead dog,,,废物,,,,,,,,,,,,
a dead duck,,,(注定要)完蛋的人,,,,,,,,,,,,
a dead frost,,,彻底的失败,,,,,,,,,,,,
a dead lift,,,"人工硬搬, 需要全力以赴的事",,,,,,,,,,,,
a dead season,,,淡季,,,,,,,,,,,,
a dead secret,,,还未泄露的秘密,,,,,,,,,,,,
a debt of honour,,,赌债,,,,,,,,,,,,
a decisive battle,,,决战,,,,,,,,,,,,
a demilitarized zone,,,非军事区,,,,,,,,,,,,
a devil of a...,,,"讨厌的..., 异常的..., 有趣的...",,,,,,,,,,,,
a devil's darning needle,,,蜻蜓,,,,,,,,,,,,
a dirty night,,,雨夜,,,,,,,,,,,,
a disciple of Momus,,,爱嘲弄的人,,,,,,,,,,,,
a dish of gossip,,,闲谈,,,,,,,,,,,,
a distress sale,,,扣押物的拍卖,,,,,,,,,,,,
a dockyard,,,"造船厂, 造般所",,,,,,,,,,,,
a dog's age,,,好久,,,,,,,,,,,,
a drawn battle,,,不分胜负的战斗,,,,,,,,,,,,
a dry eye,,,不哭的人,,,,,,,,,,,,
a Dutch feast,,,主人先醉的酒宴,,,,,,,,,,,,
a duty call,,,礼节上的访问,,,,,,,,,,,,
a fair shake,,,公平交易,,,,,,,,,,,,
a far cry,,,"遥远的距离, 大不相同的东西",,,,,,,,,,,,
a far fetch,,,一段远距离,,,,,,,,,,,,
a fat chance,,,微小的机会,,,,,,,,,,,,
a fat lot,,,很少,,,,,,,,,,,,
a fat lot of,,,"不, 毫不",,,,,,,,,,,,
a feeding storm,,,越来越厉害的暴风雨,,,,,,,,,,,,
a few,,,"几个, 少数, 一些",,,1,,,,,,,,,
a field of honour,,,"决斗场, 战场",,,,,,,,,,,,
a finishing stroke,,,"最后致命的一击, 最后的一笔",,,,,,,,,,,,
a fit of temper,,,一阵脾气,,,,,,,,,,,,
a fleeting show,,,瞬间即逝的景象,,,,,,,,,,,,
a flourish of trumpets,,,大肆宣扬,,,,,,,,,,,,
a fly in amber,,,保存得好的珍贵遗物,,,,,,,,,,,,
