Let's try something.	我們試試看！
I have to go to sleep.	我该去睡觉了。
Today is June 18th and it is Muiriel's birthday!	今天是６月１８号，也是Muiriel的生日！
Muiriel is 20 now.	Muiriel现在20岁了。
The password is "Muiriel".	密码是"Muiriel"。	密碼是「Muiriel」。
I will be back soon.	我很快就會回來。
I'm at a loss for words.	我不知道應該說什麼才好。
This is never going to end.	這個永遠完不了了。	这将永远继续下去。	這個永遠結束不了。
I just don't know what to say.	我只是不知道應該說什麼而已……	我就是不知道說些什麼。
That was an evil bunny.	那是一隻有惡意的兔子。
I was in the mountains.	我以前在山里。
Is it a recent picture?	那是一张近照吗？
I don't know if I have the time.	我不知道我有沒有時間。
Education in this world disappoints me.	世界上的教育都讓我失望。
You're in better shape than I am.	你的體型比我的好。
You are in my way.	你擋住了我的路。
This will cost €30.	這個要三十歐元。
I make €100 a day.	我一天賺一百歐元。
I may give up soon and just nap instead.	也许我会马上放弃然后去睡一觉。
That won't happen.	那是不會發生的。
I can only wonder if this is the same for everyone else.	我只能问自己这对其他所有人是不是一回事呢。
I suppose it's different when you think about it over the long term.	我认为你考虑久了就会不一样了。
I miss you.	我很想你。	我好想念你。	我想念你。
I'll call them tomorrow when I come back.	我明天回來的時候會跟他們聯絡。
I always liked mysterious characters more.	我一直都比較喜歡神秘一點的人物。
You should sleep.	你應該去睡覺了吧。
I'm going to go.	我要走了。
I told them to send me another ticket.	我請他們再寄給我一張票。
I can't live that kind of life.	我不能活那種命。	那种生活方式不适合我。
I once wanted to be an astrophysicist.	我曾經想過當個太空物理學家。
I never liked biology.	我從來沒喜歡過生物學。
The last person I told my idea to thought I was nuts.	最后一个听我说我的主意的人认为我疯了。
It is unfortunately true.	可惜这是真的。
Most people think I'm crazy.	大部份的人覺得我瘋了。
No I'm not; you are!	不，我不是！你才是！
That's MY line!	那是我該說的話!	那是我的台词！
He's kicking me!	他在踢我！
Are you sure?	你肯定吗？	你确定吗？	你确定？
Then there is a problem...	那就表示有問題...	那么就有一个问题...
Oh, there's a butterfly!	哦！有一隻蝴蝶！
Hurry up.	趕快!	快點!	快点！	快点。
It doesn't surprise me.	这并不让我惊讶。
For some reason I feel more alive at night.	不知道為什麼我夜裡覺得比較有活力。
It depends on the context.	这要看情况。	这得看情况。
Are you freaking kidding me?!	你是在跟我開玩笑吧？！
That's the stupidest thing I've ever said.	那是我说过的最愚蠢的话了。	我曾说过的废话当中那是最愚蠢的一句。
When I grow up, I want to be a king.	我長大後想當國王。
I'm so fat.	我好胖哦。
So what?	那又怎樣?
I'm not a real fish, I'm just a mere plushy.	我不是一条真的鱼，我只是一个长毛绒玩具。
I'm just saying!	我只是说说而已！
I've always wondered what it'd be like to have siblings.	我总是想有兄弟姐妹会怎么样。
It would take forever for me to explain everything.	我就算說上三天三夜，恐怕也不能把一切解釋清楚。	要都解释的话，需要一辈子的时间。
That's because you're a girl.	那是因為妳是女生。
I may be antisocial, but it doesn't mean I don't talk to people.	可能我是反社会的，但这并不表示我不跟人说话。	我或许不善于社交,但这并不意味我不和别人交谈。
I'd be unhappy, but I wouldn't kill myself.	我会不高兴，但我不会自杀。
Back in high school, I got up at 6 a.m. every morning.	以前讀高中的時候﹐我每天早上六點起床。
I thought you liked to learn new things.	我以為你喜歡學習新事物。
In order to do that, you have to take risks.	要这么做，你需要冒险。
Why do you ask?	你問這個幹什麼?
How long did you stay?	你待了多久?
Innocence is a beautiful thing.	纯真是一件美好的事。
I don't want to lose my ideas, even though some of them are a bit extreme.	我不想放弃我的想法，虽然一些想法有点极端。
That is intriguing.	那真有趣。
If anyone was to ask what the point of the story is, I really don't know.	如果有人问起这个故事的用意是什么，我还真不知道。
I didn't know where it came from.	我不知道它是从哪里来的。
This is not important.	這個不重要。	这不重要。
I didn't like it.	我没有喜欢过。
She's asking how that's possible.	她问这怎么可能。
I wish I could go to Japan.	我非常希望能够去日本。	要是能去日本就好了。
I have to go to bed.	我该去睡觉了。	我该上床了。
It may freeze next week.	下周可能会结冰。
Even though he apologized, I'm still furious.	即使他道歉了，我还是很愤怒。	雖然他道歉了，但我還是很生氣。
Thanks for having explained to me at last why people take me for an idiot.	感谢最后为我说明了为什么人们把我当作傻瓜了。
That wasn't my intention.	那不是我的本意。	这不是我的初衷。	那不是我故意的。
Thanks for your explanation.	谢谢你的解释。
I don't know what you mean.	我不懂你什么意思。	我不知道你什麼意思。
If I wanted to scare you, I would tell you what I dreamt about a few weeks ago.	如果我是想吓你，我就会告诉你我几周前梦到的事。
I don't like it when mathematicians who know much more than I do can't express themselves explicitly.	我不喜欢那些数学家知道的比我多得多，却不知道清楚地表达自己。
You're really not stupid.	你真的不笨。
I need to ask you a silly question.	我必须问你一个蠢问题。
I wouldn't have thought I would someday look up "Viagra" in Wikipedia.	我不会想到有一天我会在维基百科查找“伟哥”。
No one will know.	沒有人會知道。	没有人能知道。
I like candlelight.	我很喜欢烛光。
What did you answer?	你回答了什么？
You never have class or what?!	你从来没课还是怎样？
I will play Sudoku then instead of continuing to bother you.	那我就不继续打扰你，玩数独游戏去了。
Where is the problem?	哪裡有問題?
I love you.	我爱你。	我爱您。
I don't like you anymore.	我再也不喜欢你了。
I am curious.	我很好奇。
Congratulations!	祝贺你。	祝贺你	恭喜！
I don't want to wait that long.	我不想等那么久。
Why don't you come visit us?	为什么你不来看我们？
I shouldn't have logged off.	我不應該登出。
It is inevitable that I go to France someday, I just don't know when.	有一天我去法国是无可避免的，我只是不知道何时。	我總有一天是必須去法國的，但不知道是何時。
I hate chemistry.	我讨厌化学。
I didn't want this to happen.	我不想这种事发生。
You can probably guess what happens though.	但你很可能猜得到会发生什么。
I have nothing better to do.	我没有其他更好的事情去做。
I can't explain it either.	我也无法解释。	我也無法解釋。
Everyone has strengths and weaknesses.	每个人都有他的长处和短处。
How could I be a robot? Robots don't dream.	我怎么可能是机器人呢？机器人不会做梦。
It's not something anyone can do.	这不是任何人都能做的事。
I don't know if I still have it.	我不知道我还有没有。
What do you think I've been doing?	你觉得我之前在做什么？
Don't underestimate my power.	不要小看我的力量。	不要低估我的力量。
My mom doesn't speak English very well.	我妈妈英语说得不太好。
I was wondering if you were going to show up today.	我在想你今天会不会来。
How do you find food in outer space?	你怎么在太空里找到食物？
All you can do is trust one another.	你们除了信任对方，没什么要做的了。
Everyone wants to meet you. You're famous!	大家都想见到你，你太有名了！
Foreign people intrigue me.	外国人很有意思。
I don't have anyone who'd travel with me.	我没有一个愿意跟我一起旅行的人。
You're not fast enough.	你不够快。
Life is hard, but I am harder.	生活很困难，但我更坚强。
Tomorrow, he will land on the moon.	明天，他将登上月球。	明天他会在月球降落。
I don't speak Japanese.	我不说日语。	我不会讲日本话。	我不說日語。
Nobody understands me.	没有人理解我。	無人懂我。
I learned to live without her.	我学会了不靠她生活。
I have too many things on my mind these days.	这几天我脑袋里的事情太多了。
I just wanted to check my email.	我只想查一下我的电子邮件。
You can't expect me to always think of everything!	你不能指望我一直考虑周到！
You really don't have the right priorities!	你真的没有优先权！
Don't expect others to think for you!	别指望别人来为你考虑！	別指望別人替你思考。
It's no use pretending to make me believe that I believe things you don't believe!	要我相信我会相信你不相信的东西是没用的！
It would take me too much time to explain to you why it's not going to work.	给你解释这为什么行不通要花很多时间。
Stop seeing me as a "normal" person!	不要再把我当成“正常” 人!
Are you referring to me?	你在说我吗？
There will always be things I will never learn, I don't have eternity before me!	总有一些东西我永远不能学会，我的生命不是永恒的！
It can't be!	这不可能！	不可能！
I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	我希望可以更紧张我的成绩，但是似乎在我生命的某一刻，我决定它将不再那么重要了。
Would you like something to drink?	你想要什么喝的吗？
"Who is it?" "It's your mother."	“是谁？”“是你妈妈。”
"When will you be back?" "It all depends on the weather."	“你什么时候回来？”“这都要看天气。”	“你什么时候回来？”“这取决于天气如何。”	“你什么时候回来呀？”“看一下天气怎么样再说啦。”
"What's going on in the cave? I'm curious." "I have no idea."	“洞里发生了什么？我很好奇。”“我一点也不知道。”	"山洞裡發生了什麼事?" 我很好奇。"我不知道。"
"To tell you the truth, I am scared of heights." "You are a coward!"	“坦白说，我有恐高症。”“你是个胆小鬼！”
"Trust me," he said.	“相信我。”他说。
"This is what I was looking for!" he exclaimed.	“这正是我在找的。”他喊道。	「這就是我要找的東西！」他大叫。
"The phone is ringing." "I'll get it."	“电话响了。”“我去接。”	“电话响了。”“我来接。”
"She likes music." "So do I."	“她喜欢音乐。”“我也是。”
It may be that the happiness awaiting us is not at all the sort of happiness we would want.	很可能等待着我们的幸福根本不是我们要的那种幸福。
It is up to you to decide whether we will go there or not.	该由你来决定我们去不去那儿。	我们去不去那儿由你来决定。
Class doesn't begin until eight-thirty.	八點半開始上課。
I want a boat that will take me far away from here.	我想要一艘船带我远离这里。
"I feel like playing cards." "So do I."	“我想打牌。”“我也是。”
Allen is a poet.	Allen是个诗人。
Communism will never be reached in my lifetime.	在我有生之年，共產主義不可能達到。
In the 1950's, the Finns were cited as having one of the least healthy diets in the world.	50年代，芬兰人被认为是世界上饮食最不健康的例子。
If you see a mistake, then please correct it.	如果你发现错误，那就请你纠正它。	如果你發現有錯的話請幫忙改正。
The Germans are very crafty.	德国人很狡猾。	德国人诡计多端。
If you don't eat, you die.	人不吃東西就會死。
How do you spell "pretty"?	你怎么拼“pretty”？	“pretty”怎么拼写？
Why don't we go home?	我们何不回家呢？
I'm sorry, I can't stay long.	对不起，我不能待很久。
"Why aren't you going?" "Because I don't want to."	"你为什么不去？""因为我不想去。"	“为什么你不来？”“因为我不想。”
One million people lost their lives in the war.	100万人在战争中失去了生命。
Democracy is the worst form of government, except all the others that have been tried.	除了那些我们尝试过的政府形态，民主是最差的那种了。
When you're beginning to look like the photo in your passport, you should go on a holiday.	当我们开始像自己护照上的照片时，我们该去度假了。
With so many people around he naturally became a bit nervous.	他被很多人围着，自然变得有点紧张。
You're an angel!	你真是个天使！
People from Madrid are weird.	从马德里来的人都很怪。
Well, the night is quite long, isn't it?	夜晚很长，不是吗？
You're lucky because he didn't bite you.	你真走运，因为他没咬你。
Did you miss me?	你想我了？
Are they all the same?	他们都是一样的吗？
Thank you very much!	非常感谢！	多谢！
Where are the eggs, please?	请问鸡蛋在哪里？
I'll take him.	我会去接他的。
It's a surprise.	这是一个惊喜。
That's a good idea!	真是个好主意！
Round trip? Only one-way.	往返吗？是单程。
It's a pity when somebody dies.	有人死了的时候真是遗憾。
They say love is blind.	人们说爱情是盲目的。
Math is like love: a simple idea, but it can get complicated.	数学就像爱情，一个简单的意思，但可以变得很复杂。
How long does it take to get to the station?	去火车站要多久？
This will be a good souvenir of my trip around the United States.	这将是我环绕美国旅行中一个很好的纪念品。
Excuse me; allow me to point out three errors in the above article.	抱歉，请允许我指出上文中的三个错误。
It is difficult to keep up a conversation with someone who only says "yes" and "no".	和一个只说"是"与"否"的人维持一段对话是很难的。	跟一个只说“是”和“不是”的人很难继续谈话。
Do you speak Italian?	你说意大利语吗？	你會說義大利語嗎？
It is said that "Hamlet" is the most interesting play ever written.	据说《哈姆雷特》是写出来的最有意思的剧本。
May I ask a question?	我能问个问题吗？
It's quite difficult to master French in 2 or 3 years.	很难在2、3年内掌握法语。
You'll forget about me someday.	有一天你会忘了我。	有一天你會忘記我的。
That is rather unexpected.	这真是很意外。
I couldn't have done it without you. Thank you.	没有你我无法做到，谢谢。
Nothing is achieved without effort.	没有什么是不劳而获的。
Many people drift through life without a purpose.	许多人毫无目的地随波逐流。
Life without love is just totally pointless.	没有爱情的生活毫无意义。
Do you have a condom?	你有避孕套吗？
Do whatever he tells you.	他跟你说什么，你就做什么。
I can walk to school in 10 minutes.	我走路10分钟能到学校 。
It took me more than two hours to translate a few pages of English.	翻译几页英文花了我2个多小时。
May I talk to Ms. Brown?	我能和布朗小姐说话吗？
What do you want?	你想要什么？	你想要什麼?
Paris is the most beautiful city in the world.	巴黎是世界上最美丽的城市。
Hey, I may have no money, but I still have my pride.	嗨，我可能没钱，但我一直有我的骄傲。
I have a dream.	我有一个梦想。
This is my friend Rachel. We went to high school together.	这是我朋友Rachel，我们当时在同一所高中。
All that which is invented, is true.	所有被发明的都是真的。
To be surprised, to wonder, is to begin to understand.	感到惊讶、感到惊奇就是明白的开始。
To be perfect she lacked just one defect.	要变得完美，她就是少了一个缺点。
And yet, the contrary is always true as well.	然而，相反的理论往往也是真的。
We don't see things as they are, but as we are.	我们看东西不是看其实质，而是以我们的主观意识看它们的。
The world is a den of crazies.	世界就是一个疯子的囚笼。
You look stupid.	你看上去很傻。
My name is Jack.	我叫Jack。	我叫傑克。
I like it very much.	我非常喜歡它.
How do you say that in Italian?	那个用意大利语怎么说？
I have to go shopping. I'll be back in an hour.	我该去买东西了，我一小时后回来。
Is it far from here?	离这儿远吗？	离这里远不远？
These things aren't mine!	这些东西不是我的！
Would you like to dance with me?	你愿意和我跳舞吗？
It's not my fault!	这不是我的错！
I'd like to stay for one night.	我想待一夜。
Where are the showers?	浴室在哪里？
Open your mouth!	把嘴张开！
I have lost my wallet.	我掉了我的钱包。
Love is never wasted.	从来就没有徒劳的爱情。
Life is what happens to you while you're busy making other plans.	生活就是當你忙著進行你的計劃時總有其他的事情發生。
Not wanting is the same as having.	没有欲望就等于拥有。
He's very sexy.	他非常性感。	他性感得很。
"Pass me the salt, please." "Here you are."	“请把盐递给我。”“拿着。”
There are too many things to do!	要做的事太多了!
My parents keep arguing about stupid things. It's so annoying!	我父母整天都在為雞毛蒜皮的事情吵架，真是煩死人了！
Better to be hated for who you are than loved for who you're not.	宁愿做自己而被人讨厌，也不要因为虚假而被人喜欢。
Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.	就算你明天起床，發現整個宇宙消失了，還有一門科學是可以繼續研究的 ﹣ 那就是數學了。
My eyes are an ocean in which my dreams are reflected.	我的眼睛是一片反映我梦想的海洋。
Look at me when I talk to you!	我跟你说话的时候看着我！
I don't know what to say to make you feel better.	我不知道该说什么来安慰你。
This is not my type.	这不是我喜欢的类型。
I was trying to kill time.	我试着消磨时间。
I'm tired.	我很累。	我累了.
Who wants some hot chocolate?	哪位要热巧克力？
When do we arrive?	我们什么时候到达？
The check, please.	买单。
I have a headache.	我头痛。	我头疼。
I must admit that I snore.	我必須承認我打呼。
How are you? Did you have a good trip?	你怎么样？旅游愉快吗？
I don't feel well.	我感觉不舒服。
Call the police!	叫警察！	报警！
It's too expensive!	太贵了吧！
Merry Christmas!	聖誕節快樂！	圣诞节快乐！	聖誕快樂。
"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."	「你累的話怎麼不去睡覺？」「因為我現在去睡的話，就會太早醒過來了。」
When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.	當身體受到外界觸碰的時候，皮膚的感受器就會向大腦發出信息，令大腦釋放安多芬等的化學物質。
Half a million children still face malnutrition in Niger.	尼日尔仍然有50万孩子面临着营养不良。
Computers make people stupid.	电脑让人变愚蠢了。
When you're trying to prove something, it helps to know it's true.	當你試圖去證明某件事, 有助於了解它是真的。
If you don't understand something, it's because you aren't aware of its context.	如果你不明白一件事，那是因为你没有意识到它的背景。
The past can only be known, not changed. The future can only be changed, not known.	我們可以回顧過去，但不能改變過去；我們可以改變未來，但不能預知未來。
Anything that can be misunderstood will be.	任何事都可以被誤解。
Any universe simple enough to be understood is too simple to produce a mind able to understand it.	任何簡單到可以被了解的宇宙便太過簡單而無法產生可以了解它的心靈。
The train from Geneva will arrive at the station.	从日内瓦来的火车就要进站了。
I'm starving!	我饿死了！	我餓死了！
I am married and have two children.	我结婚了，而且有两个孩子。	我已婚，有两个孩子。
You don't know who I am.	您不知道我是谁。
Why don't you eat vegetables?	为什么你不吃蔬菜？
I'm undressing.	我脱衣服。
There are no real visions.	没有真实的幻觉。
There's no point saying "Hi, how are you?" to me if you have nothing else to say.	对我说“你好，你怎么样？”什么用都没有，如果你没有其它可说的。
In a dictionary like this one there should be at least two sentences with "fridge".	這樣的字典最少也應該有兩句「冰箱」的例句吧。
Creationism is a pseudo-science.	创造主义是一种伪科学。
The wind calmed down.	风停了。
A democrat is a free citizen who yields to the will of the majority.	民主主义者是屈服于大部分人的自由公民。
Where there's a will, there's a way.	有志者事竟成。
Rome wasn't built in a day.	罗马不是一天建成的。	冰冻三尺，非一日之寒。
Silence gives consent.	沉默就意味着同意。
Wine is poetry filled in bottles.	酒是灌入瓶中的诗。
That was the best day of my life.	那是我生命中最美的一天。
I don't understand German.	我不懂德语。
I made my decision.	我已經決定好了。
I give you my word.	我向你保证。
Mathematicians are poets, except that they have to prove what their fantasy creates.	數學家是詩人，不過他們必須也能證明他們想像力的果實。
There are 10 types of people in the world: those who understand binary, and those who don't.	世界上有10种人：懂二进制和不懂二进制的人。
Don't worry, be happy!	不要担心，开心点！
I don't like learning irregular verbs.	我不喜欢学习不规则动词。
Take a book and read it.	拿本书读！
He's already a man.	他已经是个男人了。
The vacation is over now.	现在假期结束了。
I'm afraid to fall.	我怕摔倒。
It's cold.	天很冷。
I'm thirsty.	我渴了。
Give him an inch and he'll take a yard.	得寸进尺。
You did this intentionally!	你是故意这么做的！	你是故意這樣做的!
You didn't tell him anything?	你什么都没跟他说？
You're irresistible.	你令人难以抗拒。
Could you call again later, please?	你可以晚點再打電話來嗎？
At the age of six he had learned to use the typewriter and told the teacher that he did not need to learn to write by hand.	他六歲的時候學會了用打字機，便和老師說他不用學執筆寫字了。
Life is beautiful.	生命是美麗的。	人生是美好的。	生活是美丽的。
I can't take it anymore! I haven't slept for three days!	我已經三天沒睡覺了，真是睏死了！	我不行了！我已经三天没睡过了！
He doesn't want you to tell him about your sex life.	他不希望你们对他谈论你们的性生活。	他不希望你对他谈论你们的性生活。
Have you ever eaten a banana pie?	你吃过香蕉派吗？
Why would you marry a woman if you like men?	喜欢男人，为什么还要和女人结婚？
If you can't have children, you could always adopt.	如果你不能有孩子，你总能领养。
Hey, look, a three-headed monkey!	嗨看呀，一只三个头的猴子！
It's a pity that you can't buy miracles like you would buy potatoes.	可惜我们不能像买土豆一样买奇迹。
Prime numbers are like life; they are completely logical, but impossible to find the rules for, even if you spend all your time thinking about it.	質數就像人生，它們完全是合邏輯的，但就算你花多少時間來思考，也不能找到它們背後的規律。
The brain is just a complicated machine.	大腦只是個複雜的機器。
This baby penguin is too cute!	这只企鹅宝宝太可爱了！
In theory, there is no difference between theory and practice. But, in practice, there is.	理论上说，理论和实践没有区别。但实践上说，是有的。
It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.	要用智慧来理解智慧：如果听众是聋的话，那音乐什么都不是。
I don't want to go to school.	我不想去学校。
It is raining.	下雨了。	在下雨。
I was planning on going to the beach today, but then it started to rain.	我本来预备今天去海滩的，但接着天就开始下雨了。
She's really smart, isn't she?	她真的很聪明，不是吗？
Liberty consists of being able to make everything as harmless as possible.	自由旨在能够做所有不伤害其他人的事。
Every opinion is a mixture of truth and mistakes.	所有意见是真相和错误的综合。	任何意見都是事實與謬誤的混合體。
If two men always have the same opinion, one of them is unnecessary.	如果两个人总是意见相同，那么他们其中一个就没必要了。
Tomorrow, I'm going to study at the library.	我明天去圖書館溫習。
We won the battle.	我们战争胜利了。
Hello? Are you still here?	喂？你还在吗？
I watched TV this morning.	我今天早上看了电视。
I slept a little during lunch break because I was so tired.	我在午休时间睡了一会儿，因为我太累了。
I started learning Chinese last week.	我上周开始学中文了。
It is easier to hit on people on the Internet than in the street.	在网上勾人比在街上容易。
Someday I will buy a cotton candy machine.	有一天我买了一台棉花糖机。
It's practical to have a laptop.	有一台笔记本电脑很实用。
Your glasses fell on the floor.	你的眼镜掉在地上了。
How many times a day do you look at yourself in the mirror?	你一天照几次镜子？
We went to London last year.	我们去年去了伦敦。
She doesn't want to talk about it.	她不想提了。
It doesn't mean anything!	这什么都说明不了！
Close the door when you leave.	出去的时候把门关上。
If there's no solution, then there's no problem.	如果没有解决方法，那就没有问题。	沒有解決的方法，也就不會有問題。
Despite Trang's constant affirmations of love, Spenser is still afraid someday she will fall out of love with him.	儘管莊不斷發誓她不變的愛情，斯賓塞仍然害怕有一天她會不愛他了。
You met him at the university?	你在大学碰到他了？
Aaah!! My computer is broken!	靠！我电脑坏了！
Yes, it happens from time to time.	是的，这经常发生。
To him, hunger was an abstract concept; he always had enough to eat.	對他來說，「肚子餓」是個抽象的概念，因為他從來就沒有餓過。
Even people who don't believe in the Catholic church venerate the Pope as a symbolic leader.	甚至是不相信天主教的人也把教皇敬为一个象征性的领导者。
There was always too much superfluous writing in his essays.	在他的文章中总是有太多肤浅的桥段。
